市区町村,latitude,longitude,合計特殊出生率
陸別町,43.468981,143.747243,1.35
浦幌町,42.808927,143.658396,1.34
釧路町,42.996045,144.466032,1.36
厚岸町,43.051871,144.84736,1.31
浜中町,43.077145,145.129369,1.54
標茶町,43.30344,144.600779,1.38
弟子屈町,43.485348,144.459221,1.36
鶴居村,43.229887,144.321216,1.33
白糠町,42.956177,144.071805,1.19
別海町,43.393787,145.117271,1.64
中標津町,43.555242,144.971391,1.49
標津町,43.661387,145.131319,1.57
羅臼町,44.021876,145.18962,1.3
青森市,40.822072,140.747365,1.27
弘前市,40.603124,140.463922,1.28
八戸市,40.512284,141.488399,1.39
黒石市,40.642632,140.594645,1.33
五所川原市,40.808002,140.44009,1.28
十和田市,40.612703,141.205908,1.33
三沢市,40.683134,141.368976,1.62
むつ市,41.292746,141.183476,1.36
つがる市,40.808639,140.380059,1.27
平川市,40.584011,140.566478,1.29
平内町,40.926031,140.95592,1.44
今別町,41.181757,140.481654,1.31
蓬田村,40.971714,140.655966,1.31
外ヶ浜町,41.043159,140.632296,1.22
鰺ヶ沢町,40.779913,140.208695,1.2
深浦町,40.647895,139.927375,1.29
西目屋村,40.576709,140.296288,1.36
藤崎町,40.656069,140.502811,1.41
大鰐町,40.518188,140.567828,1.24
田舎館村,40.631252,140.550116,1.43
板柳町,40.695894,140.457324,1.31
鶴田町,40.758605,140.428382,1.33
中泊町,40.965179,140.43984,1.35
野辺地町,40.864469,141.128757,1.23
七戸町,40.697416,141.151021,1.31
六戸町,40.609521,141.324949,1.57
横浜町,41.083147,141.247793,1.37
東北町,40.727876,141.257882,1.56
六ヶ所村,40.967344,141.374552,1.54
おいらせ町,40.599107,141.397797,1.67
大間町,41.526771,140.907438,1.49
東通村,41.277787,141.328936,1.47
風間浦村,41.487574,140.995729,1.27
佐井村,41.429706,140.859129,1.33
三戸町,40.378407,141.258745,1.32
五戸町,40.531225,141.30779,1.29
田子町,40.339962,141.15205,1.41
南部町,40.466593,141.381986,1.31
階上町,40.452489,141.620851,1.23
新郷村,40.465626,141.173464,1.28
盛岡市,39.702053,141.154484,1.28
宮古市,39.64142,141.95714,1.44
大船渡市,39.081901,141.70853,1.32
花巻市,39.388578,141.116645,1.31
北上市,39.286765,141.113191,1.33
久慈市,40.190524,141.775583,1.34
遠野市,39.327838,141.533303,1.44
一関市,38.934682,141.1268,1.32
陸前高田市,39.027661,141.625495,1.39
釜石市,39.275818,141.885677,1.37
二戸市,40.271213,141.304817,1.32
八幡平市,39.956477,141.071292,1.27
奥州市,39.144529,141.139141,1.39
滝沢市,39.734684,141.077095,1.37
雫石町,39.696288,140.975776,1.25
葛巻町,40.039896,141.436465,1.38
岩手町,39.97259,141.212516,1.38
紫波町,39.554568,141.155659,1.32
矢巾町,39.605981,141.142889,1.19
西和賀町,39.434621,140.750124,1.28
金ケ崎町,39.195742,141.116324,1.49
平泉町,38.986662,141.113822,1.31
住田町,39.14223,141.575047,1.34
大槌町,39.358231,141.899422,1.43
山田町,39.467662,141.94895,1.43
岩泉町,39.843042,141.796303,1.35
田野畑村,39.93045,141.888868,1.33
普代村,40.005167,141.885908,1.39
軽米町,40.326746,141.460633,1.36
野田村,40.110266,141.817668,1.36
九戸村,40.211392,141.418985,1.32
洋野町,40.284263,141.624833,1.21
一戸町,40.213011,141.295475,1.3
仙台市,38.269076,140.870403,1.14
石巻市,38.43448,141.302917,1.27
塩竈市,38.314362,141.022027,1.15
気仙沼市,38.908078,141.569992,1.27
白石市,38.002478,140.61986,1.13
名取市,38.17152,140.891913,1.32
角田市,37.977063,140.78199,1.21
多賀城市,38.293839,141.004225,1.44
岩沼市,38.104292,140.870138,1.35
登米市,38.691923,141.187579,1.37
栗原市,38.730128,141.021333,1.25
東松島市,38.426168,141.210242,1.32
大崎市,38.577071,140.95535,1.27
富谷市,38.400245,140.89531,1.32
蔵王町,38.098164,140.658416,1.28
七ヶ宿町,37.993063,140.441612,1.16
大河原町,38.049493,140.730721,1.25
村田町,38.118539,140.722404,1.14
柴田町,38.056563,140.76579,1.22
川崎町,38.177737,140.643202,1.13
丸森町,37.911429,140.765528,1.15
亘理町,38.03746,140.852581,1.25
山元町,37.961668,140.877818,1.16
松島町,38.380128,141.067244,1.11
七ヶ浜町,38.304613,141.059186,1.19
利府町,38.33019,140.975722,1.35
大和町,38.437329,140.886306,1.38
大郷町,38.42426,141.004445,1.2
大衡村,38.467226,140.880087,1.33
色麻町,38.54892,140.849878,1.33
加美町,38.571767,140.854751,1.19
涌谷町,38.539646,141.128075,1.18
美里町,38.544391,141.056695,1.14
女川町,38.449733,141.443088,1.54
南三陸町,38.679771,141.460514,1.46
秋田市,39.720008,140.102564,1.21
能代市,40.212151,140.026624,1.31
横手市,39.313782,140.566649,1.25
大館市,40.271405,140.564285,1.3
男鹿市,39.886818,139.847558,1.12
湯沢市,39.164304,140.495663,1.17
鹿角市,40.215778,140.788436,1.38
由利本荘市,39.385877,140.048791,1.28
潟上市,39.857288,140.013054,1.25
大仙市,39.453088,140.475448,1.28
北秋田市,40.226054,140.370742,1.18
にかほ市,39.203012,139.907713,1.28
仙北市,39.700069,140.730588,1.17
小坂町,40.333092,140.736081,1.26
上小阿仁村,40.063266,140.295767,1.25
藤里町,40.27836,140.261704,1.21
三種町,40.101626,140.004748,1.18
八峰町,40.318724,140.038648,1.28
五城目町,39.943892,140.111306,1.23
八郎潟町,39.949382,140.073318,1.24
井川町,39.914169,140.081294,1.23
大潟村,40.017792,139.960067,1.2
美郷町,39.461905,140.581299,1.21
羽後町,39.199323,140.412923,1.24
東成瀬村,39.179183,140.64889,1.27
山形市,38.255439,140.339602,1.32
米沢市,37.92224,140.116781,1.32
鶴岡市,38.727197,139.826731,1.42
酒田市,38.914433,139.836515,1.32
新庄市,38.765015,140.301608,1.43
寒河江市,38.380964,140.275967,1.52
上山市,38.149562,140.267827,1.22
村山市,38.483344,140.380372,1.25
長井市,38.107494,140.040524,1.37
天童市,38.362265,140.377886,1.48
東根市,38.431354,140.39109,1.63
尾花沢市,38.600622,140.405691,1.29
南陽市,38.055141,140.148375,1.43
山辺町,38.289114,140.262178,1.22
中山町,38.333114,140.283034,1.29
河北町,38.426271,140.314284,1.32
西川町,38.426499,140.147347,1.24
朝日町,38.299248,140.145926,1.36
大江町,38.380648,140.207013,1.18
大石田町,38.593863,140.37268,1.28
金山町,38.883357,140.339456,1.39
最上町,38.758387,140.519354,1.42
舟形町,38.691444,140.319776,1.38
真室川町,38.857859,140.252301,1.32
大蔵村,38.704182,140.230374,1.33
鮭川村,38.796457,140.222052,1.47
戸沢村,38.737473,140.143804,1.31
高畠町,38.002736,140.18916,1.38
川西町,38.004479,140.04579,1.39
小国町,38.061627,139.743364,1.35
白鷹町,38.183095,140.098438,1.29
飯豊町,38.045827,139.987529,1.47
三川町,38.794487,139.849696,1.61
